iter	Passed	Remaining
0	2	1433
1	5	1405
2	8	1335
3	10	1316
4	13	1317
5	15	1314
6	18	1312
7	21	1315
8	24	1316
9	26	1310
10	29	1310
11	32	1318
12	35	1320
13	38	1319
14	41	1326
15	43	1329
16	46	1332
17	49	1338
18	52	1337
19	55	1336
20	58	1334
21	61	1330
22	63	1325
23	67	1333
24	69	1328
25	72	1324
26	75	1324
27	78	1323
28	81	1321
29	84	1317
30	86	1315
31	89	1313
32	92	1309
33	95	1305
34	98	1302
35	100	1299
36	103	1297
37	106	1297
38	109	1295
39	112	1295
40	115	1295
41	118	1292
42	121	1288
43	123	1284
44	126	1281
45	129	1276
46	132	1272
47	134	1267
48	137	1263
49	139	1258
50	142	1254
51	145	1249
52	147	1246
53	150	1242
54	153	1239
55	155	1235
56	158	1233
57	161	1229
58	164	1228
59	167	1226
60	170	1225
61	173	1222
62	175	1220
63	178	1218
64	181	1217
65	185	1216
66	188	1215
67	190	1212
68	193	1210
69	196	1207
70	199	1203
71	201	1199
72	204	1195
73	207	1195
74	210	1192
75	213	1189
76	215	1185
77	218	1182
78	221	1180
79	224	1179
80	227	1176
81	230	1173
82	233	1170
83	236	1168
84	238	1166
85	241	1163
86	244	1160
87	247	1158
88	249	1154
89	252	1151
90	255	1148
91	258	1147
92	261	1144
93	264	1142
94	268	1142
95	271	1144
96	275	1143
97	277	1139
98	280	1136
99	283	1134
100	286	1133
101	289	1130
102	292	1128
103	295	1126
104	298	1123
105	301	1120
106	304	1118
107	307	1115
108	310	1112
109	312	1109
110	315	1106
111	318	1104
112	321	1102
113	324	1099
114	327	1097
115	331	1095
116	334	1093
117	337	1091
118	340	1090
119	343	1088
120	346	1086
121	349	1084
122	352	1081
123	355	1079
124	358	1076
125	361	1073
126	364	1071
127	367	1068
128	371	1067
129	374	1064
130	377	1062
131	380	1059
132	382	1056
133	385	1053
134	389	1052
135	392	1049
136	394	1046
137	397	1043
138	400	1040
139	404	1039
140	407	1038
141	411	1037
142	415	1036
143	419	1035
144	422	1034
145	425	1032
146	428	1029
147	431	1026
148	435	1025
149	437	1021
150	441	1020
151	445	1021
152	449	1019
153	452	1016
154	456	1015
155	459	1012
156	462	1009
157	465	1007
158	468	1003
159	471	1001
160	474	998
161	477	995
162	480	992
163	483	989
164	486	987
165	489	985
166	493	984
167	497	982
168	500	980
169	503	977
170	507	976
171	510	973
172	513	971
173	517	969
174	520	966
175	524	965
176	527	962
177	531	960
178	534	958
179	537	955
180	540	952
181	543	949
182	546	947
183	549	944
184	552	941
185	556	939
186	559	935
187	562	932
188	565	930
189	567	926
190	571	924
191	574	921
192	577	918
193	580	914
194	583	912
195	586	909
196	589	907
197	592	904
198	595	901
199	599	898
200	602	896
201	605	893
202	608	890
203	611	887
204	614	884
205	617	881
206	620	878
207	623	875
208	626	872
209	630	870
210	632	866
211	635	863
212	638	860
213	641	857
214	644	853
215	646	850
216	650	847
217	653	844
218	655	841
219	658	838
220	661	835
221	664	831
222	666	828
223	670	825
224	672	822
225	675	819
226	679	816
227	682	813
228	685	811
229	688	808
230	691	805
231	694	802
232	698	800
233	700	796
234	704	794
235	707	791
236	711	789
237	714	786
238	718	784
239	729	790
240	732	787
241	736	784
242	739	781
243	742	778
244	746	776
245	749	774
246	752	771
247	755	768
248	758	764
249	761	761
250	764	758
251	767	755
252	770	752
253	773	749
254	776	746
255	779	743
256	782	740
257	785	736
258	788	734
259	791	730
260	794	727
261	797	724
262	800	720
263	802	717
264	805	714
265	808	711
266	811	707
267	814	704
268	817	701
269	819	698
270	822	695
271	825	691
272	828	688
273	831	685
274	834	682
275	837	679
276	840	676
277	843	673
278	846	670
279	848	666
280	851	663
281	854	660
282	857	657
283	860	654
284	865	653
285	868	650
286	871	647
287	874	643
288	877	640
289	880	637
290	883	634
291	886	631
292	889	628
293	892	625
294	896	622
295	899	619
296	902	617
297	905	614
298	909	611
299	912	608
300	916	605
301	920	603
302	922	600
303	925	596
304	928	593
305	931	590
306	934	587
307	937	584
308	941	582
309	944	579
310	948	576
311	951	573
312	954	570
313	957	567
314	960	564
315	963	561
316	968	559
317	973	556
318	976	553
319	979	550
320	983	548
321	990	547
322	994	544
323	997	541
324	1000	538
325	1003	535
326	1005	532
327	1008	529
328	1011	525
329	1014	522
330	1017	519
331	1019	516
332	1022	512
333	1025	509
334	1028	506
335	1031	503
336	1034	500
337	1038	497
338	1041	494
339	1043	491
340	1046	488
341	1049	484
342	1052	481
343	1054	478
344	1057	475
345	1060	472
346	1063	468
347	1066	465
348	1069	462
349	1071	459
350	1074	456
351	1077	453
352	1080	449
353	1082	446
354	1085	443
355	1088	440
356	1090	437
357	1093	433
358	1096	430
359	1099	427
360	1101	424
361	1104	421
362	1107	418
363	1110	414
364	1113	411
365	1115	408
366	1118	405
367	1121	402
368	1124	399
369	1127	396
370	1130	393
371	1133	390
372	1136	387
373	1139	384
374	1142	380
375	1145	377
376	1148	374
377	1151	371
378	1154	368
379	1157	365
380	1160	362
381	1163	359
382	1166	356
383	1169	353
384	1171	350
385	1174	346
386	1177	343
387	1180	340
388	1183	337
389	1186	334
390	1189	331
391	1192	328
392	1194	325
393	1197	322
394	1200	319
395	1202	315
396	1205	312
397	1208	309
398	1211	306
399	1214	303
400	1217	300
401	1220	297
402	1223	294
403	1226	291
404	1229	288
405	1232	285
406	1235	282
407	1237	279
408	1240	276
409	1243	272
410	1245	269
411	1248	266
412	1251	263
413	1254	260
414	1256	257
415	1259	254
416	1262	251
417	1265	248
418	1268	245
419	1271	242
420	1273	239
421	1276	236
422	1280	233
423	1282	229
424	1285	226
425	1287	223
426	1290	220
427	1293	217
428	1295	214
429	1298	211
430	1300	208
431	1303	205
432	1305	202
433	1308	198
434	1311	195
435	1313	192
436	1316	189
437	1319	186
438	1322	183
439	1325	180
440	1327	177
441	1330	174
442	1333	171
443	1336	168
444	1339	165
445	1341	162
446	1344	159
447	1347	156
448	1350	153
449	1353	150
450	1356	147
451	1359	144
452	1362	141
453	1365	138
454	1368	135
455	1371	132
456	1374	129
457	1377	126
458	1381	123
459	1384	120
460	1387	117
461	1391	114
462	1394	111
463	1397	108
464	1400	105
465	1403	102
466	1405	99
467	1408	96
468	1411	93
469	1414	90
470	1417	87
471	1420	84
472	1423	81
473	1426	78
474	1429	75
475	1432	72
476	1435	69
477	1438	66
478	1440	63
479	1444	60
480	1447	57
481	1450	54
482	1453	51
483	1456	48
484	1459	45
485	1461	42
486	1464	39
487	1467	36
488	1470	33
489	1473	30
490	1475	27
491	1478	24
492	1481	21
493	1484	18
494	1486	15
495	1489	12
496	1492	9
497	1494	6
498	1498	3
499	1500	0
